"","odor_set","tested_OR","specific_odorant","specific_conc","normLuc_val"
"680","Carvone","Olfr506","plusH",31.6,0.150351
"681","Carvone","Olfr506","plusH",31.6,0.16798
"682","Carvone","Olfr506","plusH",10,0.227681
"683","Carvone","Olfr506","plusH",10,0.188434
"684","Carvone","Olfr506","plusH",10,0.16874
"685","Carvone","Olfr506","plusH",3.16,0.219968
"686","Carvone","Olfr506","plusH",3.16,0.215697
"687","Carvone","Olfr506","plusH",3.16,0.195543
"688","Carvone","Olfr506","plusH",1,0.203063
"689","Carvone","Olfr506","plusH",1,0.202788
"690","Carvone","Olfr506","plusH",1,0.212375
"691","Carvone","Olfr506","plusH",0,0.255665
"692","Carvone","Olfr506","plusH",0,0.172231
"693","Carvone","Olfr506","plusH",0,0.206695
"694","Carvone","Olfr506","minusD",316,0.103448
"695","Carvone","Olfr506","minusD",316,0.106043
"696","Carvone","Olfr506","minusD",316,0.130141
"697","Carvone","Olfr506","minusD",100,0.135556
"698","Carvone","Olfr506","minusD",100,0.094524
"699","Carvone","Olfr506","minusD",100,0.102519
"700","Carvone","Olfr506","minusD",31.6,0.16122
"701","Carvone","Olfr506","minusD",31.6,0.167823
"702","Carvone","Olfr506","minusD",31.6,0.147002
"703","Carvone","Olfr506","minusD",10,0.20329
"704","Carvone","Olfr506","minusD",10,0.167853
"705","Carvone","Olfr506","minusD",10,0.160913
"706","Carvone","Olfr506","minusD",3.16,0.189577
"707","Carvone","Olfr506","minusD",3.16,0.104955
"708","Carvone","Olfr506","minusD",3.16,0.16688
"709","Carvone","Olfr506","minusD",1,0.201262
"710","Carvone","Olfr506","minusD",1,0.239401
"711","Carvone","Olfr506","minusD",1,0.134421
"712","Carvone","Olfr506","minusD",0,0.177878
"713","Carvone","Olfr506","minusD",0,0.125718
"714","Carvone","Olfr506","minusD",0,0.120231
"715","Carvone","Olfr506","pCI_plusH",316,0.09907
"716","Carvone","Olfr506","pCI_plusH",316,0.103963
"717","Carvone","Olfr506","pCI_plusH",316,0.11143
"718","Carvone","Olfr506","pCI_plusH",100,0.177985
"719","Carvone","Olfr506","pCI_plusH",100,0.175186
"720","Carvone","Olfr506","pCI_plusH",100,0.206773
"721","Carvone","Olfr506","pCI_plusH",31.6,0.166585
"722","Carvone","Olfr506","pCI_plusH",31.6,0.179562
"723","Carvone","Olfr506","pCI_plusH",31.6,0.189987
"724","Carvone","Olfr506","pCI_plusH",10,0.181726
"725","Carvone","Olfr506","pCI_plusH",10,0.151009
"726","Carvone","Olfr506","pCI_plusH",10,0.15981
"727","Carvone","Olfr506","pCI_plusH",3.16,0.169985
"728","Carvone","Olfr506","pCI_plusH",3.16,0.136699
"729","Carvone","Olfr506","pCI_plusH",3.16,0.220739
"730","Carvone","Olfr506","pCI_plusH",1,0.259174
"731","Carvone","Olfr506","pCI_plusH",1,0.178456
"732","Carvone","Olfr506","pCI_plusH",1,0.197766
"733","Carvone","Olfr506","pCI_plusH",0,0.222775
"734","Carvone","Olfr506","pCI_plusH",0,0.185751
"735","Carvone","Olfr506","pCI_plusH",0,0.202418
"736","Carvone","Olfr506","pCI_minusD",316,0.137931
"737","Carvone","Olfr506","pCI_minusD",316,0.114014
"738","Carvone","Olfr506","pCI_minusD",316,0.116644
"739","Carvone","Olfr506","pCI_minusD",100,0.15229
"740","Carvone","Olfr506","pCI_minusD",100,0.091053
"741","Carvone","Olfr506","pCI_minusD",100,0.115365
"742","Carvone","Olfr506","pCI_minusD",31.6,0.15311
"743","Carvone","Olfr506","pCI_minusD",31.6,0.21299
"744","Carvone","Olfr506","pCI_minusD",31.6,0.137085
"745","Carvone","Olfr506","pCI_minusD",10,0.163251
"746","Carvone","Olfr506","pCI_minusD",10,0.204878
"747","Carvone","Olfr506","pCI_minusD",10,0.17977
"748","Carvone","Olfr506","pCI_minusD",3.16,0.16122
"749","Carvone","Olfr506","pCI_minusD",3.16,0.165803
"750","Carvone","Olfr506","pCI_minusD",3.16,0.236383
"751","Carvone","Olfr506","pCI_minusD",1,0.20148
"752","Carvone","Olfr506","pCI_minusD",1,0.189055
"753","Carvone","Olfr506","pCI_minusD",1,0.207701
"754","Carvone","Olfr506","pCI_minusD",0,0.160434
"755","Carvone","Olfr506","pCI_minusD",0,0.138244
"756","Carvone","Olfr506","pCI_minusD",0,0.188469
"757","Carvone","Olfr47","plusH",316,4.952077
"758","Carvone","Olfr47","plusH",316,4.41497
"759","Carvone","Olfr47","plusH",316,4.651584
"760","Carvone","Olfr47","plusH",100,7.644728
"761","Carvone","Olfr47","plusH",100,6.037671
"762","Carvone","Olfr47","plusH",100,6.919129
"763","Carvone","Olfr47","plusH",31.6,7.620999
"764","Carvone","Olfr47","plusH",31.6,7.577476
"765","Carvone","Olfr47","plusH",31.6,5.630816
"766","Carvone","Olfr47","plusH",10,6.342765
"767","Carvone","Olfr47","plusH",10,5.149168
"768","Carvone","Olfr47","plusH",10,5.624564
"769","Carvone","Olfr47","plusH",3.16,4.512868
"770","Carvone","Olfr47","plusH",3.16,3.687777
"771","Carvone","Olfr47","plusH",3.16,3.951633
"772","Carvone","Olfr47","plusH",1,3.606701
"773","Carvone","Olfr47","plusH",1,3.638668
"774","Carvone","Olfr47","plusH",1,3.183544
"775","Carvone","Olfr47","plusH",0,2.516622
"776","Carvone","Olfr47","plusH",0,2.31793
"777","Carvone","Olfr47","plusH",0,2.610999
"778","Carvone","Olfr47","minusD",316,7.182385
"779","Carvone","Olfr47","minusD",316,6.366099
"780","Carvone","Olfr47","minusD",316,5.980328
"781","Carvone","Olfr47","minusD",100,8.052597
"782","Carvone","Olfr47","minusD",100,6.817175
"783","Carvone","Olfr47","minusD",100,5.97445
"784","Carvone","Olfr47","minusD",31.6,7.353224
"785","Carvone","Olfr47","minusD",31.6,5.793243
"786","Carvone","Olfr47","minusD",31.6,6.505074
"787","Carvone","Olfr47","minusD",10,5.671622
"788","Carvone","Olfr47","minusD",10,5.422576
"789","Carvone","Olfr47","minusD",10,4.510625
"790","Carvone","Olfr47","minusD",3.16,4.649211
"791","Carvone","Olfr47","minusD",3.16,3.933532
"792","Carvone","Olfr47","minusD",3.16,3.474401
"793","Carvone","Olfr47","minusD",1,2.90404
"794","Carvone","Olfr47","minusD",1,3.410256
"795","Carvone","Olfr47","minusD",1,3.052488
"796","Carvone","Olfr47","minusD",0,2.358556
"797","Carvone","Olfr47","minusD",0,2.437232
"798","Carvone","Olfr47","minusD",0,2.862891
"799","Carvone","Olfr47","pCI_plusH",316,0.146456
"800","Carvone","Olfr47","pCI_plusH",316,0.13272
"801","Carvone","Olfr47","pCI_plusH",316,0.109384
"802","Carvone","Olfr47","pCI_plusH",100,0.164006
"803","Carvone","Olfr47","pCI_plusH",100,0.163646
"804","Carvone","Olfr47","pCI_plusH",100,0.124934
"805","Carvone","Olfr47","pCI_plusH",31.6,0.24337
"806","Carvone","Olfr47","pCI_plusH",31.6,0.155368
"807","Carvone","Olfr47","pCI_plusH",31.6,0.197987
"808","Carvone","Olfr47","pCI_plusH",10,0.190777
"809","Carvone","Olfr47","pCI_plusH",10,0.243676
"810","Carvone","Olfr47","pCI_plusH",10,0.222672
"811","Carvone","Olfr47","pCI_plusH",3.16,0.146131
"812","Carvone","Olfr47","pCI_plusH",3.16,0.170528
"813","Carvone","Olfr47","pCI_plusH",3.16,0.21845
"814","Carvone","Olfr47","pCI_plusH",1,0.230412
