"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"128","Olfr488","pCI_minusD","3.16-0",0.0254196666666667,-0.0422853727969619,0.0931247061302953,0.760191855558313
"129","Olfr488","pCI_minusD","10-0",0.0202506666666667,-0.0474543727969619,0.0879557061302953,0.885357462109129
"130","Olfr488","pCI_minusD","31.6-0",0.00534600000000002,-0.0623590394636286,0.0730510394636286,0.999849735923455
"131","Olfr488","pCI_minusD","100-0",-0.042813,-0.110518039463629,0.0248920394636286,0.309677841462095
"132","Olfr488","pCI_minusD","316-0",-0.0395193333333333,-0.107224372796962,0.0281857061302953,0.380153866670802
"133","Olfr488","pCI_plusH","1-0",0.00815066666666667,-0.0531654442648353,0.0694667775981686,0.997261943424041
"134","Olfr488","pCI_plusH","3.16-0",-0.0278403333333333,-0.0891564442648352,0.0334757775981686,0.609881114261111
"135","Olfr488","pCI_plusH","10-0",-0.0394663333333333,-0.100782444264835,0.0218497775981686,0.294683938077719
"136","Olfr488","pCI_plusH","31.6-0",-0.0249366666666667,-0.0862527775981686,0.0363794442648353,0.701406112503753
"137","Olfr488","pCI_plusH","100-0",-0.017,-0.0783161109315019,0.0443161109315019,0.913580705931327
"138","Olfr488","pCI_plusH","316-0",-0.098827,-0.160143110931502,-0.0375108890684981,0.00162975054741987
"139","Olfr488","plusH","1-0",-0.0294516666666667,-0.492863606141735,0.433960272808402,0.999957367917074
"140","Olfr488","plusH","3.16-0",0.0444003333333333,-0.419011606141735,0.507812272808402,0.999547555074373
"141","Olfr488","plusH","10-0",-0.00247900000000001,-0.465890939475069,0.460932939475069,0.999999999983482
"142","Olfr488","plusH","31.6-0",0.137684,-0.325727939475069,0.601095939475069,0.888127406530732
"143","Olfr488","plusH","100-0",0.520885333333333,0.0574733938582648,0.984297272808402,0.0253184841232634
"144","Olfr488","plusH","316-0",0.906398,0.442986060524931,1.36980993947507,0.000232161739259551
"145","Olfr502","minusD","1-0",0.0236986666666666,-0.160820673698045,0.208218007031379,0.997722801967113
"146","Olfr502","minusD","3.16-0",0.087517,-0.0970023403647122,0.272036340364712,0.571062645329456
"147","Olfr502","minusD","10-0",0.22029,0.0357706596352879,0.404809340364712,0.0172007178227838
"148","Olfr502","minusD","31.6-0",0.238614333333333,0.0540949929686212,0.423133673698045,0.00993788475511326
"149","Olfr502","minusD","100-0",0.458705,0.274185659635288,0.643224340364712,2.14401912387308e-05
"150","Olfr502","minusD","316-0",0.405511,0.220991659635288,0.590030340364712,6.17828601695569e-05
"151","Olfr502","pCI_minusD","1-0",0.0370296666666667,-0.0306753727969619,0.104734706130295,0.439872624454287
"152","Olfr502","pCI_minusD","3.16-0",0.0254196666666667,-0.0422853727969619,0.0931247061302953,0.760191855558313
"153","Olfr502","pCI_minusD","10-0",0.0202506666666667,-0.0474543727969619,0.0879557061302953,0.885357462109129
"154","Olfr502","pCI_minusD","31.6-0",0.00534600000000002,-0.0623590394636286,0.0730510394636286,0.999849735923455
"155","Olfr502","pCI_minusD","100-0",-0.042813,-0.110518039463629,0.0248920394636286,0.309677841462095
"156","Olfr502","pCI_minusD","316-0",-0.0395193333333333,-0.107224372796962,0.0281857061302953,0.380153866670802
"157","Olfr502","pCI_plusH","1-0",0.00815066666666667,-0.0531654442648353,0.0694667775981686,0.997261943424041
"158","Olfr502","pCI_plusH","3.16-0",-0.0278403333333333,-0.0891564442648352,0.0334757775981686,0.609881114261111
"159","Olfr502","pCI_plusH","10-0",-0.0394663333333333,-0.100782444264835,0.0218497775981686,0.294683938077719
"160","Olfr502","pCI_plusH","31.6-0",-0.0249366666666667,-0.0862527775981686,0.0363794442648353,0.701406112503753
"161","Olfr502","pCI_plusH","100-0",-0.017,-0.0783161109315019,0.0443161109315019,0.913580705931327
"162","Olfr502","pCI_plusH","316-0",-0.098827,-0.160143110931502,-0.0375108890684981,0.00162975054741987
"163","Olfr502","plusH","1-0",0.0253266666666667,-0.188879273851502,0.239532607184835,0.998546170623837
"164","Olfr502","plusH","3.16-0",0.148059333333333,-0.0661466071848354,0.362265273851502,0.238132563932208
"165","Olfr502","plusH","10-0",0.295728,0.0815220594818312,0.509933940518169,0.00619373661738631
"166","Olfr502","plusH","31.6-0",0.557407,0.343201059481831,0.771612940518169,1.46635751038238e-05
"167","Olfr502","plusH","100-0",0.883744,0.669538059481831,1.09794994051817,5.88645843180302e-09
"168","Olfr502","plusH","316-0",1.009493,0.795287059481831,1.22369894051817,1.04664532596388e-09
"169","Olfr506","minusD","1-0",0.050419,-0.0252622457799514,0.126100245779951,0.266900305542585
"170","Olfr506","minusD","3.16-0",0.0125283333333333,-0.0631529124466181,0.0882095791132848,0.991440773712782
"171","Olfr506","minusD","10-0",0.0360763333333333,-0.0396049124466181,0.111757579113285,0.566447426901733
"172","Olfr506","minusD","31.6-0",0.017406,-0.0582752457799514,0.0930872457799514,0.95980204649652
"173","Olfr506","minusD","100-0",-0.0304093333333333,-0.106090579113285,0.0452719124466181,0.710749640513029
"174","Olfr506","minusD","316-0",-0.028065,-0.103746245779951,0.0476162457799514,0.768593576274367
"175","Olfr506","pCI_minusD","1-0",0.0370296666666667,-0.0306753727969619,0.104734706130295,0.439872624454287
"176","Olfr506","pCI_minusD","3.16-0",0.0254196666666667,-0.0422853727969619,0.0931247061302953,0.760191855558313
