"","tested_OR","specific_odorant","comparison","diff","lwr.ci","upr.ci","pval"
"124","Olfr1454","minusD","31.6-0",0.0254616666666667,-0.117645528502864,0.168568861836198,0.987765570423786
"125","Olfr1454","minusD","100-0",-0.079422,-0.222529195169531,0.0636851951695309,0.426113782955834
"126","Olfr1454","minusD","316-0",-0.0911353333333333,-0.234242528502864,0.0519718618361976,0.303823435690981
"127","Olfr1454","pCI_minusD","1-0",0.00631666666666664,-0.18758162577199,0.200214959105323,0.999999178220792
"128","Olfr1454","pCI_minusD","3.16-0",0.0531433333333333,-0.140754959105323,0.24704162577199,0.917289644997903
"129","Olfr1454","pCI_minusD","10-0",0.0156903333333333,-0.178207959105323,0.20958862577199,0.999826831298685
"130","Olfr1454","pCI_minusD","31.6-0",0.00762766666666664,-0.18627062577199,0.201525959105323,0.999997472195981
"131","Olfr1454","pCI_minusD","100-0",0.020506,-0.173392292438656,0.214404292438656,0.999212218641812
"132","Olfr1454","pCI_minusD","316-0",0.00583366666666663,-0.18806462577199,0.199731959105323,0.999999486780272
"133","Olfr1454","pCI_plusH","1-0",0.0416366666666667,-0.130271864992183,0.213545198325516,0.949825786131394
"134","Olfr1454","pCI_plusH","3.16-0",0.00987866666666665,-0.162029864992183,0.181787198325516,0.999976310039463
"135","Olfr1454","pCI_plusH","10-0",-0.042802,-0.214710531658849,0.129106531658849,0.943707321048746
"136","Olfr1454","pCI_plusH","31.6-0",-0.0866253333333333,-0.258533864992183,0.085283198325516,0.515623304061813
"137","Olfr1454","pCI_plusH","100-0",-0.0342,-0.206108531658849,0.137708531658849,0.979100618368256
"138","Olfr1454","pCI_plusH","316-0",-0.103769666666667,-0.275678198325516,0.0681388649921827,0.350114415804246
"139","Olfr1454","plusH","1-0",-0.0330226666666667,-0.156346114779945,0.0903007814466118,0.92447465643021
"140","Olfr1454","plusH","3.16-0",-0.062273,-0.185596448113278,0.0610504481132785,0.513761795274693
"141","Olfr1454","plusH","10-0",-0.0307083333333333,-0.154031781446612,0.0926151147799452,0.943683748610066
"142","Olfr1454","plusH","31.6-0",-0.051004,-0.174327448113278,0.0723194481132785,0.68816560729857
"143","Olfr1454","plusH","100-0",-0.00703466666666669,-0.130358114779945,0.116288781446612,0.999977267780911
"144","Olfr1454","plusH","316-0",-0.0603823333333333,-0.183705781446612,0.0629411147799452,0.542233982911865
"145","Olfr1459","minusD","1-0",0.0219076666666667,-0.10895080822792,0.152766141561254,0.990950485591634
"146","Olfr1459","minusD","3.16-0",0.0334376666666667,-0.0974208082279204,0.164296141561254,0.937368894444168
"147","Olfr1459","minusD","10-0",-0.00774366666666667,-0.138602141561254,0.12311480822792,0.999971829879601
"148","Olfr1459","minusD","31.6-0",0.023884,-0.106974474894587,0.154742474894587,0.9861455914364
"149","Olfr1459","minusD","100-0",0.0302073333333333,-0.100651141561254,0.16106580822792,0.95914420352087
"150","Olfr1459","minusD","316-0",0.014921,-0.115937474894587,0.145779474894587,0.998805482969811
"151","Olfr1459","pCI_minusD","1-0",-0.0463546666666667,-0.12704522343251,0.0343358900991769,0.394697720190231
"152","Olfr1459","pCI_minusD","3.16-0",-0.0913313333333333,-0.172021890099177,-0.0106407765674898,0.0240592479836285
"153","Olfr1459","pCI_minusD","10-0",-0.0573893333333333,-0.138079890099177,0.0233012234325102,0.216783901842351
"154","Olfr1459","pCI_minusD","31.6-0",-0.038335,-0.119025556765844,0.0423555567658436,0.569514583458575
"155","Olfr1459","pCI_minusD","100-0",-0.076316,-0.157006556765844,0.00437455676584354,0.0664889653654458
"156","Olfr1459","pCI_minusD","316-0",0.0201396666666667,-0.0605508900991769,0.10083022343251,0.943082897669967
"157","Olfr1459","pCI_plusH","1-0",0.00547366666666665,-0.176840097665613,0.187787430998946,0.999999494809896
"158","Olfr1459","pCI_plusH","3.16-0",0.0323616666666666,-0.149952097665613,0.214675430998946,0.987896938616295
"159","Olfr1459","pCI_plusH","10-0",-0.000337666666666653,-0.182651430998946,0.181976097665613,0.999999999999972
"160","Olfr1459","pCI_plusH","31.6-0",0.00749900000000001,-0.17481476433228,0.18981276433228,0.999996706582767
"161","Olfr1459","pCI_plusH","100-0",0.0144986666666667,-0.167815097665613,0.196812430998946,0.999843164351202
"162","Olfr1459","pCI_plusH","316-0",0.049263,-0.13305076433228,0.23157676433228,0.921694003551472
"163","Olfr1459","plusH","1-0",0.00455533333333334,-0.17322179842334,0.182332465090007,0.999999803772495
