"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s392",0.837041844307967,8.16953710084053,0.401406118120461,0.00918034157117886,0.299640142700085,0.0176724400156885,1.17417417417417,128,128,128
"s393",0.836994312336722,8.17271533589627,0.401357736517531,0.00918158765170885,0.299591174719785,0.0176737705726073,1.17717717717718,128,128,128
"s394",0.836946822882997,8.17589152607311,0.401309519792669,0.00918282986275247,0.299542368504779,0.0176750972048113,1.18018018018018,128,128,128
"s395",0.836899375841055,8.17906567463301,0.401261467030863,0.00918406822290442,0.29949372315699,0.0176764199309823,1.18318318318318,128,128,128
"s396",0.836851971105516,8.18223778483169,0.401213577324333,0.00918530275063574,0.299445237785526,0.017677738769674,1.18618618618619,128,128,128
"s397",0.836804608571358,8.18540785991857,0.401165849772458,0.00918653346429491,0.299396911506615,0.0176790537393126,1.18918918918919,128,128,128
"s398",0.836757288133916,8.18857590313674,0.4011182834817,0.00918776038210886,0.299348743443519,0.0176803648581987,1.19219219219219,128,128,128
"s399",0.836710009688879,8.19174191772295,0.401070877565533,0.00918898352218407,0.299300732726475,0.0176816721445083,1.1951951951952,128,128,128
"s400",0.836662773132295,8.19490590690753,0.401023631144372,0.00919020290250759,0.299252878492608,0.0176829756162935,1.1981981981982,128,128,128
"s401",0.836615578360561,8.19806787391444,0.400976543345498,0.00919141854094804,0.299205179885872,0.0176842752914841,1.2012012012012,128,128,128
"s402",0.83656842527043,8.20122782196117,0.400929613302985,0.00919263045525669,0.299157636056968,0.0176855711878887,1.2042042042042,128,128,128
"s403",0.836521313759005,8.20438575425874,0.400882840157647,0.0091938386630684,0.299110246163286,0.0176868633231954,1.20720720720721,128,128,128
"s404",0.836474243723738,8.20754167401167,0.400836223056949,0.00919504318190264,0.299063009368823,0.0176881517149735,1.21021021021021,128,128,128
"s405",0.836427215062434,8.21069558441796,0.400789761154954,0.00919624402916453,0.299015924844126,0.017689436380674,1.21321321321321,128,128,128
"s406",0.836380227673243,8.21384748866908,0.400743453612244,0.0091974412221457,0.298968991766218,0.0176907173376309,1.21621621621622,128,128,128
"s407",0.836333281454665,8.21699738994991,0.400697299595868,0.00919863477802535,0.298922209318536,0.0176919946030626,1.21921921921922,128,128,128
"s408",0.836286376305543,8.22014529143874,0.400651298279265,0.00919982471387116,0.298875576690866,0.0176932681940723,1.22222222222222,128,128,128
"s409",0.836239512125067,8.22329119630725,0.400605448842206,0.00920101104664026,0.29882909307927,0.0176945381276495,1.22522522522523,128,128,128
