"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda","nFeats_Euc","nFeats_cor","nFeats_cos"
"s600",0.903859780307028,5.01356408200595,0.40116157212913,0.00915624508309059,0.301592874458914,0.0176580940900902,1.7987987987988,321,321,321
"s601",0.90383657214199,5.01517796901229,0.401109146390253,0.00915707930709251,0.301538339849099,0.0176590050668221,1.8018018018018,321,321,321
"s602",0.903813384387826,5.01679105621129,0.40105682303787,0.00915791178044505,0.301483916083347,0.0176599141198987,1.8048048048048,321,321,321
"s603",0.903790216987072,5.01840334590347,0.401004601726923,0.00915874250897971,0.301429602758569,0.0176608212560575,1.80780780780781,321,321,321
"s604",0.903767069882515,5.02001484037832,0.400952482114096,0.00915957149850078,0.301375399473872,0.0176617264820015,1.81081081081081,321,321,321
"s605",0.903743943017189,5.02162554191439,0.400900463857794,0.00916039875478533,0.301321305830516,0.0176626298044003,1.81381381381381,321,321,321
"s606",0.903720836334377,5.02323545277934,0.400848546618131,0.00916122428358356,0.301267321431925,0.0176635312298895,1.81681681681682,321,321,321
"s607",0.903697749777607,5.02484457523,0.400796730056915,0.00916204809061892,0.301213445883644,0.0176644307650713,1.81981981981982,321,321,321
"s608",0.903674683290648,5.02645291151243,0.400745013837659,0.00916287018158817,0.301159678793349,0.0176653284165149,1.82282282282282,321,321,321
"s609",0.903651636817516,5.028060463862,0.400693397625534,0.0091636905621617,0.301106019770814,0.0176662241907562,1.82582582582583,321,321,321
"s610",0.903628610302467,5.02966723450344,0.400641881087382,0.00916450923798353,0.301052468427909,0.0176671180942987,1.82882882882883,321,321,321
"s611",0.903605603689997,5.03127322565089,0.400590463891703,0.00916532621467165,0.300999024378572,0.0176680101336131,1.83183183183183,321,321,321
"s612",0.903582616924842,5.03287843950798,0.400539145708636,0.00916614149781802,0.300945687238809,0.0176689003151378,1.83483483483483,321,321,321
"s613",0.903559649951975,5.03448287826789,0.400487926209954,0.00916695509298877,0.300892456626664,0.0176697886452792,1.83783783783784,321,321,321
"s614",0.903536702716604,5.03608654411338,0.400436805069047,0.00916776700572442,0.300839332162222,0.0176706751304117,1.84084084084084,321,321,321
"s615",0.903513775164175,5.03768943921691,0.400385781960923,0.00916857724154001,0.300786313467577,0.0176715597768781,1.84384384384384,321,321,321
"s616",0.903490867240367,5.03929156574064,0.40033485656218,0.00916938580592515,0.300733400166827,0.0176724425909896,1.84684684684685,321,321,321
"s617",0.903467978891089,5.04089292583651,0.400284028551008,0.00917019270434428,0.300680591886064,0.0176733235790263,1.84984984984985,321,321,321
"s618",0.903445110062484,5.04249352164634,0.400233297607183,0.00917099794223689,0.300627888253351,0.0176742027472371,1.85285285285285,321,321,321
"s619",0.903422260700922,5.04409335530183,0.400182663412039,0.00917180152501747,0.30057528889871,0.01767508010184,1.85585585585586,321,321,321
"s620",0.903399430753004,5.04569242892465,0.400132125648473,0.00917260345807579,0.300522793454114,0.0176759556490225,1.85885885885886,321,321,321
"s621",0.903376620165557,5.04729074462651,0.400081684000929,0.00917340374677705,0.30047040155347,0.0176768293949416,1.86186186186186,321,321,321
"s622",0.903353828885632,5.04888830450919,0.400031338155387,0.00917420239646202,0.300418112832603,0.017677701345724,1.86486486486486,321,321,321
"s623",0.903331056860506,5.05048511066466,0.399981087799355,0.00917499941244708,0.300365926929245,0.0176785715074663,1.86786786786787,321,321,321
"s624",0.903308304037677,5.05208116517507,0.399930932621853,0.00917579480002459,0.300313843483026,0.0176794398862353,1.87087087087087,321,321,321
"s625",0.903285570364867,5.05367647011284,0.399880872313421,0.00917658856446273,0.300261862135448,0.0176803064880681,1.87387387387387,321,321,321
