"","full_pcorr_Euc","full_mse_Euc","full_pcorr_cor","full_mse_cor","full_pcorr_cos","full_mse_cos","lambda"
"s393",0.648950528613723,16.0095539710611,0.32661606957396,0.00934889504351698,0.243579830347297,0.0179034094324772,1.17717717717718
"s394",0.648811680714488,16.0152926003913,0.326562469047239,0.00934974016479965,0.243539234456567,0.017904271184341,1.18018018018018
"s395",0.648673014827573,16.0210202281459,0.326509017949388,0.00935058294987753,0.243498733776972,0.017905130735168,1.18318318318318
"s396",0.64853453064206,16.026736888088,0.326455715649802,0.00935142340903135,0.243458327960942,0.0179059880938804,1.18618618618619
"s397",0.648396227847546,16.032442613847,0.326402561521497,0.0093522615524789,0.243418016662763,0.0179068432693508,1.18918918918919
"s398",0.648258106134136,16.0381374389189,0.326349554941079,0.00935309739037548,0.243377799538579,0.017907696270402,1.19219219219219
"s399",0.648120165192449,16.0438213966669,0.326296695288717,0.00935393093281443,0.243337676246365,0.0179085471058079,1.1951951951952
"s400",0.647982404713614,16.0494945203222,0.326243981948123,0.00935476218982757,0.243297646445919,0.0179093957842935,1.1981981981982
"s401",0.64784482438927,16.0551568429844,0.326191414306513,0.00935559117138569,0.243257709798846,0.0179102423145353,1.2012012012012
"s402",0.647707423911567,16.0608083976222,0.326138991754598,0.00935641788739907,0.243217865968543,0.0179110867051618,1.2042042042042
"s403",0.647570202973163,16.0664492170737,0.326086713686542,0.0093572423477179,0.243178114620184,0.0179119289647537,1.20720720720721
"s404",0.647433161267227,16.0720793340474,0.326034579499943,0.0093580645621328,0.24313845542071,0.0179127691018443,1.21021021021021
"s405",0.647296298487439,16.0776987811225,0.325982588595814,0.00935888454037521,0.243098888038809,0.0179136071249197,1.21321321321321
"s406",0.647159614327984,16.0833075907496,0.325930740378549,0.0093597022921179,0.243059412144911,0.0179144430424193,1.21621621621622
"s407",0.647023108483558,16.088905795251,0.325879034255901,0.00936051782697545,0.243020027411169,0.017915276862736,1.21921921921922
"s408",0.646886780649365,16.0944934268216,0.325827469638958,0.00936133115450462,0.242980733511445,0.0179161085942168,1.22222222222222
"s409",0.646750630521117,16.1000705175295,0.325776045942121,0.00936214228420488,0.242941530121299,0.0179169382451627,1.22522522522523
"s410",0.646614657795032,16.1056370993163,0.325724762583072,0.00936295122551879,0.242902416917978,0.0179177658238293,1.22822822822823
"s411",0.646478862167838,16.1111932039976,0.325673618982767,0.00936375798783245,0.242863393580395,0.0179185913384271,1.23123123123123
"s412",0.646343243336766,16.116738863264,0.325622614565387,0.00936456258047596,0.24282445978913,0.0179194147971216,1.23423423423423
"s413",0.646207800999556,16.1222741086813,0.325571748758336,0.00936536501272384,0.242785615226404,0.0179202362080339,1.23723723723724
"s414",0.646072534854453,16.1277989716912,0.325521020992212,0.00936616529379544,0.242746859576076,0.017921055579241,1.24024024024024
"s415",0.645937444600208,16.1333134836116,0.325470430700775,0.00936696343285537,0.242708192523623,0.0179218729187757,1.24324324324324
"s416",0.645802529936077,16.1388176756378,0.325419977320944,0.00936775943901392,0.242669613756138,0.0179226882346275,1.24624624624625
"s417",0.645667790561821,16.1443115788421,0.325369660292752,0.00936855332132745,0.242631122962304,0.0179235015347425,1.24924924924925
"s418",0.645533226177704,16.1497952241753,0.325319479059334,0.00936934508879886,0.242592719832398,0.0179243128270235,1.25225225225225
"s419",0.645398836484496,16.1552686424667,0.325269433066906,0.00937013475037791,0.242554404058263,0.0179251221193311,1.25525525525526
"s420",0.64526462118347,16.1607318644245,0.325219521764744,0.00937092231496173,0.242516175333315,0.0179259294194831,1.25825825825826
